报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,12469738488,11624870341,10058879793,10933749651,10503991625,9753666527,10347741521,9698993837,9380553374,9367386628,8384037897,8595287503,8718593383,8449622155,7599866038,4284662182,4497354840,4826448032,4269677770,5090446575,4266686090,3539506611,3543110824,3438596416,4393365434,4709607474,5054970769,6448579979,6248286869,5349434667,5390023542,7566381692,7146474384,6942008563,5748790036,4284505754,3750013841,3148898507,1388233026,1933804917,1407993221,1079108611,787654892.8,1334113145,1083203725,937281020.7,648445541.7,736943223,1111767734,703637937.8,590740575.6,429365475.7,445809827.8,444308234.5,435913225.3,533429759.1,670646807,777957868,427716415.9,349758100.2,336960652.7,297216875.2,238764750.1,256632471.2,298836463.7,257927054.8,263563864.7,299886761.8,396939693.2,451229814.9,388555396.1,381096590.9,394697790.9,426518552.5,160403672.3,150940471.1,214643805,245913391.9,204056626.8,176313880.1,108214767.3,198827645.9,200697869.7,144721265,148051151.6,129204661.8,0,87999644.77,0,54873159.03,0,43433080.63,0,10208193.51,12212974.18,6558584.36,0
交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16855608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768170.3,1768170.3,1293686.3,1293686.3,1293686.3,1293686.3,1210008.09,1210008.09,1293686.3,1293686.3,1293686.3,1293686.3,1293686.3,1293686.3,1293686.3,1293686.3,1072710.6,1072710.6,1064222.15,1064222.15,1293686.3,1293686.3,66540,66540,66540,20000000,0,0,0,0,0,0,0,1375664,0,9118505,0,10415935,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,1563983.25,1507852.43,1635316.02,5545439.8,15369344.25,18293914.23,1906771995,2483195292,2757948659,2398660205,2010770154,2971112637,2295495511,2500822715,0,2366238480,0,2156797039,0,1686191618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,0,0,0,0,0,0,1889428764,2459750258,2747744045,2388326476,1994691532,2958382928,2283501053,2492813858,2257268800,2362271332,2703454539,2152898362,2318905737,1680014275,1659375572,2268110162,1563688573,2854296052,2315986838,1456912013,1990838294,2168980692,2096891448,2997342877,2682117935,1953223671,2391209774,2789726550,1611243735,1928735741,3533481879,3439678051,2654522780,2493242559,2447120556,1799095477,1246872010,907886077.4,850774264.4,689909219.9,627032851.9,348805096.1,320453660,529389405.7,198086969.1,67623231.94,256274471.3,160678062.5,65360045.26,155284878.8,259396016.2,243303990.8,110839388.8,78898015.62,87028683.67,75659037.04,68360517.5,73576584.86,63549263.97,63115733.48,41022049.38,45457624.6,77795012.99,119158172.8,57997889.01,49896952.45,65746128.34,47103789.5,26988426.08,32893508,32226121.1,19617468,13793700,42441277.84,24698875.6,47352316,36042609.44,75063340.75,31153000.4,55895000,0,18227500,0,2697795.2,0,0,0,0,0,0,0
应收账款,1563983.25,1507852.43,1635316.02,5545439.8,15369344.25,18293914.23,17343231.03,23445033.71,10204614.1,10333728.87,16078621.29,12729709.15,11994458.21,8008857.2,6217910.64,3967148.22,8473880.88,3898676.86,9575329.89,6177343.68,10079571.43,12226328.76,9912382.23,11690777.78,11290612.58,4705568.29,28224642.14,13067495.81,9884310.88,10092949.09,80311404.79,24855935.2,39239226.28,80473364.77,110964313.5,57713523.12,81598041.77,59557461.53,106701737.8,69751293.33,76610472.35,47113084.31,111207304.4,88670167.77,124626977.3,30664433.79,63108374.86,52042086.77,75386281.03,28231795.49,69802719.65,38197233.55,117149495.8,64100091.57,119489759,74938653.78,87634348.62,42121837.82,40221584.76,39599540.8,44300347.06,29059522.57,62076822.38,52834041.78,78553758.39,51192127.11,86641783.33,90522407.19,109173101.2,98793574.62,150231448.9,148434034.4,209740938.4,145623620.3,207329709.7,181338358.5,179599672.6,161697443,191752802.4,162342935.5,190737449.2,146241403.4,153176216.9,125176506.3,152061275.8,163260875.3,0,13105672.27,0,10950175.94,0,285271.65,0,35944500.33,173978.96,145470.08,0
应收款项融资,3641758209,3209371766,3059298729,2855987447,2065914391,2393797260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
