报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,2325966265,2153606527,1740214363,1466288925,1266646105,1317911753,1111069616,1058514088,986939077.8,1006574685,958056080.9,642327526.7,213859848.7,341792637.7,310563500.6,160413683.7,222100873.7,307672352.5,283056818.1,305238468.5,257634741.6,385650873.7,262505506.2,240750628.6,246982977.9,241653888.5,257105133.7,249839979.8,257392988,424235615.2,269780402.8,360374293.2,328583586,850240967.2,815701258.3,651275747.2,518304384.4,932903249.4,193755975.7,184724167.3,181821109.6,198868187.1,85475658.19,63136237.34,52149450.11,80776110.37,62766059.75,84106458.36,44083044.85,77511276.94,32863815.13,28428701.17,39822169.34,137256342.2,28382553.42,18621825.67,41835882.7,5532623.31,19453019.3,6648469.54,6089799.86,14098038.19,9879499.41,436158203,394080419.5,411968167.7,448144243,448944107.2,325155092.6,330683748,426458437.4,516478916.3,537426797.9,574655090.7,495303706.2,306912479.5,325739565.6,349875201.9,275634222,181286953.3,175965766.5,400063517.6,135917060.6,91265997.93,187216923.7,257835981.1,0,0,359335.56,1149149.57,487076.27,0
交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,14887209.18,9887209.18,54700000,64300000,37000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,407811851.4,391171026.2,127051601.2,70270046.64,159160442.7,204269110.7,136666235.6,120705937.4,216096388.1,245524080.6,110379262.7,102948882,129347386.1,113171766.5,0,111414378.8,0,53675349.94,0,29429102.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,407706290.8,387820976.6,125301648.4,66314736.01,155040984.2,197540281.5,130063942.9,112764475.8,210060974,239474723.5,103873380.1,96707204.86,123099871.6,106917358,83098755.5,99428800,61459180,52968381.16,15545041.16,28434000,60730000,49314340,24974501.6,18350044,73880000,66496520,24690538.8,19240629,8053500,21430540.91,39546280,22610000,1420000,1350000,156224385.6,116314530.5,38429000,11189000,4919000,1509800,1817517,2000000,2200000,3358150.5,208661.5,24597889,1260000,5500000,12141154.15,25978749,12021000,1550000,7758640,12382838,11879422.2,11965261.88,4727791,898421,4055632,4951505.53,2340000,6012824.3,0,0,1400000,17356440,1978000,4317600,1455920,14047409.96,7745610.2,12130722,26947193,25077079.2,28737234.4,19945785.5,41654542.26,54486995,24646201.13,13756033,29113881.88,22420190,24458000,22520834.33,11204279,0,0,0,0,0,0,0
应收账款,105560.66,3350049.52,1749952.84,3955310.63,4119458.44,6728829.28,6602292.75,7941461.62,6035414.07,6049357.08,6505882.61,6241677.16,6247514.48,6254408.5,11953931.18,11985578.8,8606050.8,706968.78,2627671.9,995102.59,1395193.69,1027962.47,4132413.88,2475212.86,2417401.51,2085813.51,2273401.1,3252533.74,2779554.08,2859333.95,2639785.54,3260866.57,7619476.14,4141696.64,8854547.35,4561297.31,5574638.09,4542477.04,2940182.95,2330730.38,4785493.97,3576231.12,7523553.18,27671423.24,8144317.81,8191104.99,21278441.39,17645363.92,17717244.95,19028315.82,20110757.1,22059291.04,21847624.39,17979438.25,25813165.21,30104613.1,28295048.37,32748512.63,81393658.05,71644586.22,80927438.29,98095758.36,98219467.37,151281401.8,119236905.2,75040592.31,88702201.03,65180057.4,240848006.4,214246141.4,272622471.9,263986897.9,252996918.5,249562788,365765471.4,360346880.9,243152031.5,289817968,223045940.8,227251099.3,207052517.5,136465889.6,129768303.2,102335619.9,108128820.6,47769685.44,0,36664223.25,32983227.67,35011483.48,17824443.14,0
应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预付款项,38333758.72,11063127.13,32487788.54,40024762.37,16459870.84,4025042.66,19219363.73,41008590.91,33814811.09,9654581.74,29667175.29,4416706.85,6232308.17,4414087.41,8131350.68,5604643.69,6779166.56,10160720.95,14277382.63,14672428.9,30942090.21,30952211.48,10159563.84,9458555.47,10915344.89,9869526.69,34594817.98,40816554.39,43256428.38,29266789.15,169756270.4,165987749.5,160848804.9,124577933.2,126909121.4,126971997,116890960.3,102324949.9,68422969.38,75373331.92,98937937.54,69566769.99,26206704.52,30760721.09,50746669.08,40735172.85,10140516.76,10977777.84,7839486.65,4273567.02,10076440.27,8262084.68,4006164.01,6506162.11,16874385.67,9187284.63,4530906.09,4152555.3,13294823.54,6198331.81,9420894.46,10213074.99,5915880.35,7692920.53,14957422.69,5401189.26,683170.92,527779.77,424900.92,2334977,32994.89,314840.89,2097834,3039189.42,163749.38,85365.38,142785.38,4686224.53,152159.9,6079237.25,22306303.14,6666264.85,44948384.81,40465300.64,7213485.75,7391285.05,0,0,922274.31,7480017.53,4947134.67,0
其他应收款(合计),5651017.42,6608029.69,6542192.23,5994711.84,6737981.71,6338110.29,11547478.11,10860355.51,10735533.84,11149984.64,13147480.19,13060349.38,14664542.47,14091037.68,0,21765396.21,0,5340057.8,0,38063902.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,0,6608029.69,0,5994711.84,0,6338110.29,0,10860355.51,0,11149984.64,13147480.19,13060349.38,14664542.47,14091037.68,22954222.68,21765396.21,5571128.56,5340057.8,5713312.1,38063902.44,40268275.16,43591795.89,54542629.06,57108276.98,56757999.66,56622126.61,58469601.99,63188005.23,105504272.1,85184566.17,71004060.07,72678321.76,104860976.5,76098862.33,98832193.47,65286399.48,63486440.97,64285961.14,52779867.49,69880444.98,12467399.16,65832604.94,14750904.44,12031532.64,19824626.86,19211543.47,46552613.94,108399419,110604458.4,152734967.5,101585121.9,101155265.7,100885030.7,93582279.69,35559793.85,16278755.25,18602232.2,18903027.57,156440471.2,334171026.7,391507546.3,396566167.5,501447264.9,110082305.5,116750162.9,86206779.96,91189548.57,75730922.37,191900657.7,180044318.1,201449601.4,192123208.1,173040784.3,182341811.2,137889524.6,95726771.86,139337991,163725673,206508858.8,232211158.2,125758862,150421198.7,41923430.39,58150586.4,87062125.8,77762186.91,0,3651324.19,1360895.91,4217493.55,1148345.04,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
