报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,73379733085,68209577023,57487797812,55673148121,61892616353,63238825724,56452371833,49891869867,56791885861,48960048898,40647532884,42426330650,42841346187,40591803406,37009464495,34460702656,36444229729,34665917836,33661137100,30573225874,27021018338,26374190181,25368524052,22852502535,24216910202,22382106584,20816459340,20044935398,22776856360,25763495275,24575610379,25756055775,28805906991,27845507237,25767578097,23191044991,22883165830,21550861666,19030416621,18211566393,16190659506,14134459003,11473084733,9943205586,9543660882,7543588700,6563567876,4846347515,7097277733,5925396595,5838715883,5184237841,5228632197,4060766892,4688729262,4276319963,3803378130,2786258119,2656212411,2443574847,2751216146,1971067990,1571661619,1479638954,1234840555,882624670.1,1470310894,1314054756,1899142831,1005084907,1273345510,1561217592,1554658715,1335725854,1611944400,1812460414,1781245268,1527575748,0,1560164527,2177885887,1708793575,599617487.9,931290888.9,1244311406,1052654663,908361204.3,170626574.8,41123701.59,38805248.43,0
交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17820853.44,18995628.8,15283286.08,16286287.36,17696728,18266062.56,17745495.68,20578616.96,22475006.72,20756261.28,20693323.6,20743819.28,25799079.04,23705071.8,10613694.93,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,16168058,16238843,17452698,8690137.16,16359058.17,8218308.81,10441030.8,2794536.9,1841793.44,1841793.44,2342583.24,2342583.24,2813602.8,2806922.8,1431037.52,1431037.52,2307717.82,2313897.82,2373641.41,5927785,10930414,11289741.12,8862440,16223320.8,0,6864862.14,237722121,8366263.14,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,18663064627,18609917325,15285596016,12354744807,14804390520,14777599289,12521706485,15222739031,16215150004,16261973288,14479367036,17156257483,17349190758,11297770038,0,11649542492,0,9686800987,0,11276219790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,18518623705,18568421154,15092497179,12184872494,14611935427,14643149596,12338936019,15058657510,15890647968,16134641951,14319733593,16977557220,17196073687,11188200511,10434216115,11527797189,13159107549,9579098215,8483681712,11151897353,16167613236,8665339282,5830649755,7425023965,7622456072,7369422899,7364396469,8952154233,9153573195,3625484719,4104036271,4247102908,2885552496,2594222587,1671281068,2399499495,2374016621,1938673301,1656244403,1619094086,2516511592,2180616263,1425521975,1276951868,1410762154,1842131763,1011783426,566096206.3,298348819.1,601748849.9,510997030.2,352053475.4,397695819.5,523942546.5,438071678.4,379986577.1,700835412.3,669717586.7,636883188.8,418106596.4,551795849.8,567966196,914569335.2,975117540.5,611455924.2,683957089,486619894.1,550250862,391663000,550460821.4,566707454.9,280062160,264602772,376468732,305916880,243659520,184015332,98460640,0,148695117.4,93413130,93229460,146284500,95218000,64188400,26924000,2600000,0,4000000,0,0
应收账款,144440921.4,41496170.35,193098837.2,169872313.4,192455092.6,134449693,182770466.8,164081520.9,324502036.2,127331337,159633443.6,178700262.8,153117071.3,109569527.3,117313272.5,121745303.2,153556780.8,107702772.2,127688546.1,124322436.6,146053117.7,106953033.3,120971070.6,142355074.8,214776783.1,122947745.9,130143929,132997074.3,94682124.1,75473277.19,127791575.4,122003853.2,137135845.1,80997122.24,139523546.1,111469617.2,91302403.83,75620180.15,107612919.3,90179133.64,135662395.5,89308643.66,95257645.41,121431445.9,106195171.8,102759225,218856184.7,81047717.2,41423790.42,5170935.73,20361430.23,16460544.41,62119013.29,6792521.38,60092296.23,10677560.94,62527448.84,6260195.02,58185536.7,5688086.54,4505066.06,3485923.59,44915049.4,5919635.07,47660585.8,2151313.52,57118311.17,2989801.7,10392876.48,2709674.42,3297701.91,6416936.28,240365350.6,2926977.69,5068027.75,37640854.09,132748147.1,7910472.45,0,78436213.89,38304361.76,15162121.77,99818939.2,104285129,31475559.05,13522153.39,3188798.42,1781269.24,2927659.32,2788901.88,0
应收款项融资,3313755025,2024442017,1495707465,1363531225,4672637569,3450166659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
