报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,6107405182,6168868937,6522417575,5612606005,4488792898,3800887854,3271684233,3807688053,2080319742,3197780700,2156003939,454465447.8,346287430,377491762.8,1925504180,326513009.4,1770650909,132044125.9,280454999.4,239311626.2,220027049.6,59499199.34,679039909.2,671331457.6,416288756.4,753870722.9,1031686970,599883978.3,195314169.3,442561103.2,387596350.1,423695673.5,321913857.3,399518704.2,344260027.3,479031197.2,461421955.9,334065434.5,463597179,492851915.8,391805949.4,419058022.9,589986752.5,246904787.5,257871023.4,214330672.2,243961692.1,240026208,392532027,220480744.2,0
交易性金融资产,296643115.5,258541800,88201564.84,45183510.78,19109769.87,35128676.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,21461133.7,25529798.98,26684853.8,24704093.67,23372417.04,24366313.47,12592825.36,24149957.46,21547310.98,19151709.01,42519431.65,59079008.72,89709635.69,93227953.85,0,166802775.7,0,186480118.5,0,265929706.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,0,0,0,0,0,215759.41,570000,3070000,5018347.33,5380000,23245223.16,16090000,7590136,13649139.51,28548260.87,26898000,18746160.16,24332000,55698099.15,46480000,15373000,7806000,48241488.47,47973000,18563952,8541462.4,16506270.4,79661084.13,59268392.6,80373431.29,79388898.26,216343617.8,57223745,69878674.44,117738927.5,171385742.6,19171689.99,163700342.3,227054239.2,122811088,223740599.2,328468549,161716601.1,148843805.5,169297107.4,127206679.4,160668762.4,150997093.3,375359713.2,365447599.5,0
应收账款,21461133.7,25529798.98,26684853.8,24704093.67,23372417.04,24150554.06,12022825.36,21079957.46,16528963.65,13771709.01,19274208.49,42989008.72,82119499.69,79578814.34,110902104.8,139904775.7,151556855.6,162148118.5,193911898.8,219449706.3,264930639.4,258890248.4,258405526.3,281225120.3,357858052.8,406594422.5,430731452.8,440838451.8,496059234,476818357,489563950.3,512254836.4,553319075.8,548883475.2,506179925.6,503567334.3,512761270.8,494535257.2,464574449.6,474983255.8,465728870.8,422397603.5,392825719.8,497201432.1,329641522.2,307770632,377027375.4,245996315.5,189479441.2,220667588.8,0
应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
