报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,50743255374,36091090061,27075309623,25452397287,19682973021,13251817238,1.12729E+11,1.15558E+11,1.11684E+11,1.12075E+11,1.00751E+11,83660170569,87211373701,87868869913,80964678997,73635347053,72708333795,66854962118,61999742903,47528057097,43775736152,36800749895,30536117620,30236504717,28420683404,27710717680,22795906975,21095077301,23364071644,25185009332,22011372945,18274962103,21735234697,22061999850,18690032974,20981859111,18851427039,18254690162,18288326258,17291687379,15998489423,12888393889,11026669577,10268861587,9980435184,9743152155,7895280563,7795808371,7662321131,8093721891,6402015795,5065871831,5564443319,4722706300,4753385536,4809865056,4655485481,4463098039,4083907788,3419099921,3975708187,3891989434,3217007277,3065214770,3024925341,2898327419,2419288966,2172790157,2091330580,2340047387,1868792964,1536249316,1684957739,1780307691,1677224920,1513800290,1877929846,1956436570,336439213.5,460983583.5,198390615.1,124765368.7,0
交易性金融资产,0,0,0,0,0,0,0,0,29000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,1185663371,1532728980,1935655554,1178468013,1344593688,1463000645,858679506.6,709663924.7,519774895,563739710,620590547,690294516.9,798746524.9,1221706039,0,1698067207,0,817627172,0,6562529133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,1185663371,1532728980,1935655554,1178468013,1344593688,1463000645,858679506.6,709663924.7,519774895,563739710,620590547,690294516.9,798746524.9,1221706039,1829625354,1698067207,1176901568,817627172,1138138783,6561484494,4678118906,8578935407,8291402262,3954874737,2808126680,1847838618,1158808485,299692582.1,287246643,296084005,196272614,159151909,70770220.78,204079117.8,348529803.5,221512122.5,231498512.5,252101396.1,296850744.1,216485295.3,175868596.7,204811101.2,271163836.5,179851211.3,302156251.2,380760283.2,275946452.8,157290474.4,176104343.6,170612609,90608212.8,94821890.8,82127468.4,101046224,146604935.6,179337941.8,195159382.5,185653838.5,232808366.6,113565011.8,72016701.8,159665200.1,142698346.1,99986019.08,129762839.5,115374909.9,128441126.8,62807660.8,54118710,46540363.6,71795352.8,20242382,5500000,37016763.1,6167260,46470610,16681000,11740000,31154620,2500000,13412198,0,0
应收账款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8502001.2,1044639.8,230768.89,230768.89,3824472.83,366443.99,491086.99,4306161.24,2220278.99,2220278.99,2676414.79,927222.79,927270.79,927222.79,1344597.39,17818147.27,1853461.74,1985526.74,2056894.08,2225396.48,2119216.68,2298535.27,997308.9,1254599.91,28003199.84,28759555.53,31070214.28,21386314.28,41565282.45,39875502.54,56118460.45,34825094.84,47344076.62,47820451.06,77785411.65,46407153.34,68786878.85,65189432.07,103831215.7,67438863.7,78798820.95,68909631.17,61221809.44,43685990.33,40672843.72,45101032.82,28773108.71,31277360.66,42938727.75,29019562.67,22935426.95,27486075.27,30028932.35,32813851.63,59698287.53,42735776.91,69269778.56,41917386.7,67909035.71,46700450.37,45485831.93,47884805.68,58760152.62,29350910,0
应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
预付款项,1010832886,898436259.2,1116780155,932133598.3,1403564768,1549477339,2060529773,1419684643,1141217462,1182378508,1121079959,818855540.6,756802769.1,790807322.1,801295419.2,984578688.4,861069103,1046100697,1323120683,1281379955,1523446789,1477734860,1888387088,2556244726,3399221187,2864210404,4397548541,3864638856,3882463942,4304579300,6514401257,5560921770,4682606670,3872870408,3967252708,3010108855,2326144240,1861027424,1911544400,1861395541,1609203876,1529868838,1696132653,1491650205,1450038504,1203126087,1140280816,896708844.5,715183784.3,741638536.3,29936840.23,6728563.87,2194804.11,6825624.62,4056810.58,629243.95,5226084.27,4242010.29,29101123.61,15830509.64,5682241.01,12385914.41,8885528.61,10016746.35,7780206.8,4744646.4,7209175.58,9198150.34,11433268.53,6176790.79,5424392.38,3096295.69,31437389.69,6120132.5,4912526.11,3978615.9,6243525.1,3011768.4,2365520.34,15247081.7,8745548.24,10516948.13,0
其他应收款(合计),43880989.3,34488582.19,63702858.55,70837732.7,82263917.31,76540490.99,131008581.3,434475450.5,431220861.2,393890493.1,450243280.3,449633799,874411718.8,272782079.2,0,205338546.3,0,218132422.3,0,136574422.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收利息,0,0,0,0,0,0,80292222.24,386374194.5,384483805.6,343889944.5,382283378.1,381568388.9,832616980.5,241458615.9,242686627.5,156890931.4,239223538.6,140904856.9,125442817.7,80171834.96,133573079.4,85347051.47,136725651.2,136529732.5,117630548.8,80602922.33,35968733.61,40227055.55,69911833.34,188599147.2,291069085.5,237708837.4,169802147.4,264612813.2,265954783.1,213786369.9,154585967.4,225182760.1,176109284,127606199,39447517.81,42728425.34,76696541.09,49443756.84,183700,1912600,1675275,1437950,3084625,2783550,2482475,2181400,1880325,3584400,2629400,2629400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10118265.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他应收款,0,34488582.19,0,70837732.7,0,76540490.99,0,48101255.92,0,50000548.65,0,68065410.06,41794738.23,31323463.35,58475466.27,48447614.91,121467406.4,77227565.37,125415641.2,56402587.5,64872644.27,48219018.75,59819918.3,71376458.32,88011586.52,80888920.58,145347841.7,95846344.88,141988112.9,119574188.8,140614153,110283776.3,111065467.1,137968684.1,324914133.9,221192977.4,88895233,47287488.89,79529417.68,54398087.07,101048054.4,59101891.63,65611949.08,69410894.24,91758741.03,96001483.15,84784967.44,69470701.02,61047011.65,82601388.17,89917156.88,89092773.84,101816908.2,86114253.52,31805579.48,96256039.76,69985881.11,55431205.84,45825294.8,59586527.93,66722558.24,51244124.02,71144267.86,55856617.92,51292931.18,29172976.86,48728659.77,47259374.1,49557977.35,119865787.9,100482020.2,39505064.74,41010360.69,45195662.66,47097802.98,39558251.94,28157899.1,33320706.81,12899599,9792294.12,16920539.6,43237967.21,0
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
存货,29613715890,28869087678,26980463651,26294649615,25272045240,25284920806,23755484741,24014000582,24025118303,23506950842,21862256653,22087351504,22026303941,22057481376,20871002103,20850310407,20760473515,20622251826,18782523500,18444926425,18537817778,18013297023,16381165060,16284072631,15619209608,14982364368,13454959038,13240654523,12697658855,11836810239,10686189842,10339021452,10085273971,9665727593,7887354887,7773834493,7578019307,7187117553,6232185752,5915613288,5831734652,5574126083,4791428915,4495328931,4350958976,4192246440,3405325025,3256220583,3222966303,3114567813,2588105779,2443474684,2388248474,2304818948,2100782615,2120021426,2008331715,1974710283,1883507684,1855279898,1800160745,1860549625,1684279670,1668181460,1640412382,1693741195,1516497796,1318555940,1279320067,1215006621,1215900105,1203247938,1045879054,1076612589,1021098759,1011422579,819827003.2,786368826.8,575547814.3,512332818.6,423401102.2,316665851.5,0
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2089751.57,4163123.12,5885590.27,0,7270021.37,3257900.75,3505403.97,0,2013868.9,2681671.19,3789523.18,651300.25,5092386.79,9154338.64,13216290.49,0,2059993.64,6241285.97,12574337.18,23350685.8,0,19421406.15,3757667.96,0,0
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445348.75,424850.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22679.23,0,0
其他流动资产,18738244.07,26736855.91,27229928.79,63116855.14,36508480.46,20904926.15,24583772.83,20261269.25,43251000.8,140084334.1,25871272.99,32598221.52,16247363.82,37539231.49,35530822.63,24148290.79,21954140.71,231474570.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25315.56,25315.56,41315.56,0,7770.58,3604.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10897017,0,0,0,0
流动资产合计,1.8585E+11,1.85652E+11,1.57489E+11,1.44835E+11,1.57925E+11,1.59024E+11,1.39949E+11,1.42546E+11,1.37874E+11,1.37862E+11,1.24831E+11,1.07739E+11,1.11781E+11,1.12249E+11,1.04803E+11,97397790193,95889423066,90180548806,83502886330,73953467033,69113796117,65004514024,57297442072,53239969447,50453374102,47570929074,41990759894,38638356941,40446017445,41931583434,39840847168,34682977070,36856097771,36225076614,31485892751,32424279455,29232627192,27829632180,26986665073,25469484325,23756789429,20300284828,17955706671,16583306141,16206601570,15655585363,12844858381,12216812426,11896825659,12240750883,9250435650,7750016910,8218538026,7271502903,7108059527,7273932145,7038019760,6750574240,6356038829,5536434623,5987397833,6019520288,5172403303,4948039398,4886452214,4772638508,4165118321,3642312516,3522858527,3756029034,3300783898,2847576932,2883969536,2991256359,2836827323,2672385302,2838318929,2869925291,1011105603,1069969911,720079304.5,520907601.8,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,2944890000,2953036835,2934750000,2966437500,51480000,48750000,39000000,29298750,36026250,36075000,42900000,42900000,25593750,33150000,29250000,224250000,242701246.4,60833517.03,169872721,171638439.9,136500000,19500000,21060000,30810000,30810000,30810000,9850000,0,16596250,90527500,24750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,29000000,4000000,4000000,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,20358397.79,20143397.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,50000000,60000000,65000000,65000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,50000000,60000000,60000000,60000000,60000000,60000000,60000000,60000000,10000000,10000000,27000000,27000000,52000000,42000000,37000000,37000000,37000000,58000000,58000000,58000000,59769450,42769450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750000,6750000,6750000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,11486496.29,10767452.71,10387452.7,10243017.33,10243017.33,9838781.96,9838781.96,9627405.13,9815063.73,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,0,0,0,0,0,0,0
投资性房地产,5457278.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程(合计),3302351932,2447444843,3659652691,3203369159,2766719554,2518938272,2797227129,2507842946,2387065065,1954322969,2351418277,2320642541,2377082564,2016405006,0,2191037165,0,2745579996,0,5372537213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,2447444843,0,3203369159,0,2518938272,0,2507842946,0,1954322969,2351418277,2320642541,2377082564,2016405006,2393782465,2191037165,2082556666,2745579996,5549022900,5372267342,5277866269,4895150717,4746332450,4446804735,3480877160,3421774448,3051662444,2921492323,2241975575,456328292.1,508298207,500633130.5,477739596.7,392672324,357930180.6,331098306.5,316656062.3,251446326.4,293041026.5,341962470.4,312224946.5,263458445.1,267427752.3,277632965.2,270471465,193956334.4,811284321.6,819595902.8,673327881.2,582860996.7,1314894893,1197950992,1043792133,994453165.7,1207096399,1074086870,1073527595,1179883698,1208808414,1042924431,943031845.6,909890443.6,974012522.4,929053724.8,849288037,776047024.9,733384383.5,675660352.4,637644833.1,721652502.1,697188715,617706515.6,536385132.8,442903497.3,389477083.1,273149253.4,184181516.5,162048784.7,0,5776136.63,25290,0,0
工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269870.82,269870.82,260855.92,260855.92,260855.92,260855.92,260855.92,260855.92,1224766.15,1224766.15,1725110.46,1725110.46,2676942.59,2676942.59,2676942.59,2676942.59,2090289.79,2090289.79,17063746.94,4918294.64,9193593.08,8457630.38,13359601.05,18528802.46,29764562.68,28534493.73,34573760.18,24915041.53,58066303.96,48241829.45,76212689.33,62368950.89,86238644.05,20951751.21,49874189.4,11931427.66,54999356.25,23465945.79,15359723.76,47444702.52,81705306.28,49288779.32,27434478.82,19108529.36,60212675.93,45532107.71,20256459.23,10991173.91,20644752.17,17528075.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),15978639283,16225082847,14650777182,14872913965,15005339642,15144182726,14815012375,15013818268,15122025008,15248556585,14812649902,14906697070,15179337573,15244096632,0,15035615814,0,14453177439,0,11359574612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,16225082847,0,14872913965,0,15144182726,0,15013818268,0,15248556585,14812649902,14906697070,15179337573,15244096632,14851183243,15035615814,15197596003,14453177439,11249022571,11357781631,11485879410,11415953190,10891205189,10376471791,10438792824,10375757772,9003408250,8917854215,8768403594,8523256960,7165765337,7047000358,6984113447,6807333231,5838430602,5698697790,5489821741,5426012350,4703882763,4268588604,4218762324,4191851112,3754654674,3731222904,3223949712,3168725156,2420836030,2285285757,2247266188,2190171912,1962510407,1946505197,1869754285,1826983364,1435078967,1431615294,1317726493,1222202623,1018003339,1030973670,1019701198,981382035.5,744749774,704628195.9,718609837.7,715522677.4,650253702.3,651728272.6,644654996.8,440813831.8,436222878.8,445032882.2,453833289.7,470098687.7,447507947,452942750.2,409558858.5,414239895.7,177835639.1,180320389.1,184936865.9,213023445.4,0
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1792981.04,1792981.04,1792981.04,682594.04,682594.04,0,0,0,836478.5,260558.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494592.89,0,0,0,0,0,0,0,164317.37,0,456645.64,0,35490,0,140744.01,122591.96,15676.67,0,13066.32,0,0,0,144779.23,144779.23,117684.47,6730,6730,6730,0,0,0,0,0,0,0,449993.46,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
