报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,1442986782,1851258270,1329979926,1312441012,941717831.6,1265042139,1243293739,1174183781,1504754533,1261794094,1025867949,794207222.5,948146349.8,912520498.8,1029570712,836648189.1,794694581.2,864054119.8,724885788.1,622048370.2,445312583.5,434436734.8,364249981.2,290477274.7,130303712.8,209227341.2,108295402,124961179.4,133571297.5,182515494.3,252762124,314987462.6,434792235.5,715475872.2,246938691.6,426201305.7,466243048.7,504553205.2,520727141.4,320936750.6,292801778.3,317138121.2,306994907.4,179831423.6,300095842.9,653317636.3,607489658,614286340.9,354144319.3,382625364.5,381791609.6,535908661.2,424402296.7,794522247.5,722388635.5,402671340.8,296645343,652667559.3,477665088.9,310595551.8,242690756,290661494.8,378111382.2,305130533.9,265148311.9,433262023.9,349450344.9,245489691,255345180.4,288987237.8,347509743.7,254291525.3,302290146,272284498.1,325841814.6,353931147.7,358348754.4,355885078.8,428199026.1,252186440.8,240289013.5,224155612.2,155945440.2,174111105.6,130797680.7,128309819.5,139951738.6,0,171028259,33800689.12,59826569.43,14941829.39,0
交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,3203040,0,1924992,0,488592,19495495.79,28866470.55,18748982.95,25341477.23,16049215.79,34292223.95,34446487.79,45828073.16,102850518.6,87679759.9,0,11538489.07,0,17291494.79,0,2422172.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,0,0,0,0,0,0,0,0,0,3918747,0,4370267.12,10131252,6586500.12,5868270,7565412,0,5000000,0,0,1530000,69128948.12,17579764.88,49932290.9,42174550.72,93384860.63,39733636,23171187.17,23607960.2,16574132.25,42797776.02,75319511.02,167647323,228468521.7,216026012,169019103,60416975.3,264173335.3,361154345.6,192087200.4,179219064.1,237164970.9,223960521.5,187295416.2,176631874.7,229956081.8,242607888.3,157831402,53352722.51,120710697.5,168042424,78061797.6,96841960,166747550,136636142.6,88897940,45128618,82285740,41721708.5,59838880,45226892,25760000,51316000,12111400,5144240,4074891.99,21618061.99,10055541.36,4462831.6,21225973,31952180.9,34075832.65,20961164.16,81752828.2,64774901.55,14242212,21616727.92,26040626.29,36484271.71,27991300,139390935,32143421.6,75590692.73,20639300.53,507500,0,0,0,0,0,0,0,0
应收账款,3203040,0,1924992,0,488592,19495495.79,28866470.55,18748982.95,25341477.23,12130468.79,34292223.95,30076220.67,35696821.16,96264018.52,81811489.9,35207378.34,11538489.07,7048834.31,17291494.79,2697825.69,892172.13,11044027.09,8395588.6,11442625.88,14098107.77,10659532.31,11358304.71,46394887,66786988.71,107285444,112540114.9,194888185.2,106875084.3,58295174.23,23438394.28,3102993.84,16298177.65,19517095.65,6366642.36,21646719.98,18311146.19,36306006.73,13923426.87,31352000.27,44824736.6,80565550.86,67083457.71,110726849.6,76360948.49,83761611.97,86282853.23,46855938.65,47925031.39,53293321.02,55283618.82,53467755.07,35608573.15,50736352.77,52833485.62,96282551.1,87542791.06,80252762.57,66624931.98,139610580.2,114037363.4,78984245.75,66373309.52,200290017,234835460.8,280254463.2,251721551.8,302451992.4,345245760.3,364350935.2,393488457.2,500603834.8,535390904,538805829.3,468034537,314022817,280917380.7,379757104.2,275660438.4,264289786,154855953,107928150,125611788,0,41956006.08,36417577.62,15565176.28,21059775.32,0
应收款项融资,0,7380972.57,7380972.57,0,0,1567800,186567800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
