报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,5008346642,4606714043,4489027250,4453438030,3717747503,3963599836,3378436298,3160345727,3720994599,1296106412,941817884.5,991775042.2,1341548051,1222314883,1498429924,1124642373,1143308334,1217904236,1234259934,961914623.7,1068241164,1046072722,1049900241,911012247.9,759290521.6,756496918,1081032524,851388055.2,1118441724,984851927.9,1298571327,1520018468,2292198643,2480804314,2507967989,2317553341,2262317781,2020358378,1511607013,1437365150,1435712758,1081101770,939707813.3,588492442.3,714870188.6,707582537.6,766460476.8,610724342.6,751714230.5,542096174.6,568847146.9,336464018.8,190120270.6,172013325.8,363584083.5,477650339.3,497403175.9,385463519.2,460943572.2,239217811.7,255090519.8,139996358.6,163984110.2,191074369.2,177236562.8,112953303.9,170614851,176002154.3,165271458.2,105436337.7,152943762.3,136614800.1,123665701.5,111416471.2,80664162.96,69070870.55,9101194.36,74396876.31,40467464.96,39730959.12,40863032.27,37669448.67,15758967.38,34646868.45,34626947.72,33607012.4,0,22441812.29,0,2122182.22,0,10074000,0,235413.31,19470739,0
交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据及应收账款,2815200.54,1682997.2,2992501.66,3528925.45,6342396.16,6234063.24,2757123810,2638418747,1972175886,3706101399,3361536799,3638353200,3366746872,2199326284,0,2370735136,0,1516550602,0,1590280605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
应收票据,0,0,0,0,0,0,2739037299,2619058859,1937053307,3695298649,3259056683,3603074304,3265239245,2187506229,2206159961,2340206414,2429972048,1454937261,1343695814,1555183557,1684014993,1227435986,1011328388,1144899783,1181050070,1076409125,673571233,902102695.9,1265928965,1156712378,1439087105,1211599994,1399233305,907653785.5,634090043.9,587933412,1153309445,576029971.1,430432495.5,601957065.7,742711560.5,479040416.6,429446710,497877818,511552426.6,361909152,330645731.5,320686784.6,293403092.7,283544310.3,255568031.5,283010481.4,486096702.6,572891103.7,375987785.9,331810701.1,407088146.1,321315292.9,318706455.9,356800609.1,500656552.8,302337778.2,293713125,217033286.9,231405953.3,275830042.9,154218198.2,108543694.8,119236140.8,157475631.9,83986881.77,43347686.28,94947306.84,79910944.14,72020479.1,47015121,102352175.1,89684984.62,29267345,60171246.58,23440640,36279808,22495000,22684800,17532121.86,19551000,0,0,0,0,0,0,0,0,0,0
应收账款,2815200.54,1682997.2,2992501.66,3528925.45,6342396.16,6234063.24,18086511.09,19359887.98,35122579.13,10802750.65,102480116.1,35278895.13,101507626.6,11820054.61,61805878.36,30528722.2,58656381.25,61613341.32,78282527.53,35097048.03,56231524.74,10915604.4,55987136.65,38471092.39,63001197.86,1444155.61,66977760.36,31779373.07,32029584.1,1012045.72,99317666.23,71734591.27,73221202.81,18879202.8,109655800.1,101035553.8,66878783.93,23145910.95,136335825.7,100250034.5,58009312.27,25738199.99,124107145.6,121413639.9,94619474.44,44962847.6,100387690.4,73211525.94,54425787.61,39138410.76,94599605.77,120416952.5,106916434.2,163990908.3,149947931.7,113880587.5,103854814.9,76742724.48,79370096.09,81316942.67,125839228.6,92896182.97,134920370.2,110133019.4,111349674,98280690.28,123688047.6,110753679.8,123343442.3,113017024.7,136499217.8,136443692.2,137161995.2,123196076.6,144294369.4,156483896,214405931.5,123808175.8,181953700.7,147015250.8,181768509.8,174655788.1,169427208,159494248.5,164375932.5,167532795.5,0,141714314.8,0,195182482.3,0,0,0,161398835,18644324,0
应收款项融资,6839417524,4280178031,2918199769,1439408920,2024695476,2727971880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
