,综合效率,CRS_Status,纯技术效率,VRS_Status,规模效率
20210331,0,Optimal,0.999999998,Optimal,0
20201231,0,Optimal,0.932263617,Optimal,0
20200930,0,Optimal,1.000000017,Optimal,0
20200630,0,Optimal,0.99999999,Optimal,0
20200331,0,Optimal,0.999999986,Optimal,0
20191231,0,Optimal,0.947519148,Optimal,0
20190930,0,Optimal,1,Optimal,0
20190630,0,Optimal,0.942971015,Optimal,0
20190331,0,Optimal,0.994149354,Optimal,0
20181231,0,Optimal,1.000000011,Optimal,0
20180930,0,Optimal,0.992653366,Optimal,0
20180630,0,Optimal,0.957342188,Optimal,0
20180331,0,Optimal,0.995715055,Optimal,0
20171231,0,Optimal,0.969709458,Optimal,0
20170930,0,Optimal,0.949365005,Optimal,0
20170630,0,Optimal,0.926278659,Optimal,0
20170331,0,Optimal,0.914601895,Optimal,0
20161231,0,Optimal,0.962689894,Optimal,0
20160930,0,Optimal,0.901666553,Optimal,0
20160630,0,Optimal,0.893448448,Optimal,0
20160331,0,Optimal,0.903399692,Optimal,0
20151231,0,Optimal,0.897057092,Optimal,0
20150930,0,Optimal,0.99999998,Optimal,0
20150630,0,Optimal,0.997071722,Optimal,0
20150331,0,Optimal,0.893370726,Optimal,0
20141231,0,Optimal,0.880281815,Optimal,0
20140930,0,Optimal,0.898753635,Optimal,0
20140630,0,Optimal,0.95358565,Optimal,0
20140331,0,Optimal,1.000000007,Optimal,0
20131231,0,Optimal,0.974022135,Optimal,0
20130930,0,Optimal,0.982532963,Optimal,0
20130630,0,Optimal,0.999999988,Optimal,0
20130331,0,Optimal,1.000000025,Optimal,0
20121231,0,Optimal,1.000000007,Optimal,0
20120930,0,Optimal,0.947993928,Optimal,0
20120630,0,Optimal,0.918756371,Optimal,0
20120331,0,Optimal,1.034900523,Optimal,0
20111231,0,Optimal,0.999999993,Optimal,0
20110930,0,Optimal,1.057160114,Optimal,0
20110630,0,Optimal,0.876821433,Optimal,0
20110331,0,Optimal,0.808931826,Optimal,0
20101231,0,Optimal,0.851553203,Optimal,0
20100930,0,Optimal,0.679565223,Optimal,0
20100630,0,Optimal,0.534708299,Optimal,0
20100331,0,Optimal,0.652490302,Optimal,0
20091231,0,Optimal,0.899637342,Optimal,0
20090930,0,Optimal,0.591247582,Optimal,0
20090630,0,Optimal,0.331900675,Optimal,0
20081231,0,Optimal,0,Optimal,0
20071231,0,Optimal,0.999999956,Optimal,0
20061231,0,Optimal,0.739407889,Optimal,0
20090331,0,Optimal,8.26E-10,Optimal,0
20080930,0,Optimal,1.00E-12,Optimal,0
