报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销售商品、提供劳务收到的现金,3981804657,10807605859,8647831452,6336568642,4415909824,10746837905,8252482399,5352480704,3282900143,9158327553,7234393863,4168785414,2317913398,7041950513,5433189005,3555497839,2217759396,7031888741,4665181633,2839999384,1752652055,6316130597,4231368597,2825242243,1593219475,5299356138,3534279763,2427634004,1541321836,5381770281,3526645311,2388476782,1524683964,5256820153,3409050412,1865698167,1362864829,3467179265,1954017296,1297349193,586868716.7,2097226868,1278479212,944450759.8,520156442.6,1608035027,1213302553,866791367.6,442907498,1549138274,1160293593,786195717.1,325135706.9,1348030210,998418193.2,679802210.6,397760951.6,1133161745,718193194.5,478515646.3,249286637.7,766166211.9,0,361336814,199916126,738068666,525105089,380686257,249202307,703532567,482677750,302320322,203913502,640639213,346140210,989744863,580610721.4,1171299069,582409519.9,970288024.7,1085388739,0
收到的税费返还,713005.93,7344191.33,3381080.29,3020222.21,509255.64,9498718.5,20674445.06,15816253.89,0,18279633.65,5652636,1526552.28,809884.08,20901711.56,14260319.1,14260319.1,13696586.24,16218721.25,16075251.07,368270.62,0,13999000,13999000,0,0,107163.11,590000,590000,590000,0,0,0,0,642100,0,0,0,976614.88,485555.14,422693.25,138809.11,1340383.73,1341681.06,185409.52,184112.19,1694275.94,1424743.78,384233.71,384233.71,3237876.4,2457296.05,520094.81,0,0,6339429.53,0,0,0,0,0,0,0,0,0,0,0,0,50668,0,0,0,0,0,0,1409364,16140175,0,13168406.88,0,12088989.02,18797470,0
收到的其他与经营活动有关的现金,281782707,3104278292,2308969284,1323750535,545462243.6,1323733316,711377701.5,276731904.7,183731144.9,774008382.3,752962249.9,578221173.3,36191356.85,410064046.6,203473532.7,163681861.4,106104856.1,345789490.6,382955144.8,274445609.4,171045890.7,175581055.2,252465602.6,175019524.2,83658100.74,171461104.2,270949896.7,213011013.8,65699727.82,299273978.5,536660470.6,423118271.7,336973131.1,152260005.1,357921165.1,140956983.4,51475126.56,213872969.5,65271170.03,45771101.29,31565057.14,71547891.42,55659503.36,32212518.52,20996094.83,99364168.88,22230429.35,18859094.91,12410436.37,56046393.31,21755311.84,17854437.41,17633959.71,33261474.79,35878897.95,30366333.72,21999682.21,11705634.3,39707855.55,38487450.65,16347314.49,18531677.72,0,23145855,10133893,13117390,28364223,10067205,5094149,26279439,10033043,7601207,3958532,49869187,7861415,29784338,6104389.08,4817526.45,7831731.81,23362298.32,35363086.41,0
经营活动现金流入小计,4264300370,13919228342,10960181816,7663339400,4961881323,12080069940,8984534546,5645028863,3466631287,9950615569,7993008749,4748533140,2354914639,7472916271,5650922857,3733440019,2337560838,7393896953,5064212028,3114813264,1923697945,6505710652,4497833199,3000261767,1676877576,5470924405,3805819660,2641235018,1607611564,5681044259,4063305782,2811595054,1861657095,5409722259,3766971577,2006655150,1414339956,3682028849,2019774021,1343542987,618572582.9,2170115143,1335480397,976848687.8,541336649.6,1709093472,1236957726,886034696.2,455702168,1608422544,1184506201,804570249.3,342769666.6,1381291685,1040636521,710168544.3,419760633.8,1144867379,757901050.1,517003097,265633952.2,784697889.6,0,384482669,210050019,751186056,553469312,390804130,254296456,729812006,492710793,309921529,207872034,690508400,355410989,1035669376,586715110.5,1189285003,590241251.7,1005739312,1139549295,0
购买商品、接受劳务支付的现金,815249351.3,2216094156,1792820288,733871614.5,705160011.8,1593805654,1579978848,899005913.6,437253627.6,1141576748,1161445122,805659265.4,559193732.7,685079409.1,701247390.4,519208246.7,281029361.2,1761253852,813734763.1,517398555,303598158.7,1758283731,1084236355,709413298.4,372053201.5,1517387902,978436320,730037605.8,399138618.2,1673212675,1043747165,694259783.6,396576428.8,1117167749,522132012.9,414219022.4,478336140.5,1108607023,400849470.4,285643594.1,104723857.6,581575389.7,395665651.6,350562945.1,199671657,521363936.9,437030153.5,343194790.2,182332950.1,746164622.7,670044786.4,476387323.4,158411090.6,758357764.7,701379737.3,478352682.2,255234341.6,670602977.3,477689560.7,316683625.9,143520645.8,389729662.4,0,242008369,123071534,416687395,357772777,245602713,144786591,345106168,230207903,168358920,118992610,296509985,167787747,545454522,246275411.7,667620977.7,258269423.9,443020885.9,464207084.7,0
支付给职工以及为职工支付的现金,766322812.8,2377569201,1893631551,1250084350,696654167.5,2042656320,1445715909,1006137071,506211004.6,1557106771,1096353967,777363928,386791520.4,1379482542,962585070.5,664176293.1,321777759.1,1130548520,774961969.5,540282959.4,258832549.8,1000365213,716002327.1,517459277,301577229.1,989911967.8,711424764.2,527351397.8,248978562.8,924834475.7,603025286.7,417115008.7,192645644.4,722698221.2,331632516.1,231081015.8,105398201.6,516181360.6,259835430.1,157164782,57143445.33,263320162.4,138994805.2,81480491.28,33714288.97,241321788,166697373.6,125184921.1,84044145.5,155178070.3,117262309.7,84209198.21,51524677.74,112358592.3,91941179.31,65503134.33,35757551.11,91011678.07,67762331.04,46292264.71,25742684.21,89093074.27,0,48978132,24602864,75884576,57127987,39723888,20004232,69365713,50806571,36535170,22060468,71739783,43109503,84590742,51986677.72,77253368.39,45521004.98,60087647.32,66331442.6,0
支付的各项税费,1210416898,3323475923,2454548768,1853009321,1165366247,3292028436,2674734494,2001653339,1180474818,3095830375,2355225928,1875377764,880876488.9,2588903933,2164760737,1695407866,873979926.3,2041224546,1623032665,1174821006,679555137,1872063120,1472228703,1048663428,524671820.5,1620441094,1318333281,1014623163,640552635.3,1483773601,1219760029,955081121.2,549779709.6,1556750391,1334007969,1007128787,702280109.4,981128678.4,796294161.7,531346112,345406524.4,453288625,412992929,299367760.5,150558596.3,380275651.6,327513832.7,247560957.4,142234808.8,334121369.6,259559932.9,191422557.3,128353715.6,248594397.2,207992661,156866412.9,104761438.3,237073261.9,179735196.8,149535520.3,108102634.2,174728776.7,0,103212947,50033483,149850757,107622901,85076712,60650460,133942882,105257815,78544910,53501829,173142141,91732754,214442870,108566590.6,284779553.1,149916564.6,289351095.8,321622947.9,0
