报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
一、营业总收入,24324839645,57321059453,42492767200,30767525988,20238226409,50118105877,37101632093,27151044853,17590253203,40030189600,29250287403,21421181221,13897660045,30186780409,21977596630,15621127661,10158807519,24543792661,17699643832,13255638646,8825564213,21659287360,15131341357,11215414007,6735435074,21011491536,15068314516,11662532799,6719851620,24718588618,19165837235,15519877625,8675799863,27201045951,21126603443,15049709413,8230651473,20350594469,15648774490,10594830203,6244557080,15541300511,11471710171,7576545903,4493625788,11129220550,8029680076,5340889932,3338850727,7933068723,6578679657,4597277683,3086147514,7328555842,6043063120,4342880480,3009852592,7389544035,5959089191,4399514392,2731789322,6424444417,4971947983,3809736337,2470919491,6301441944,4581174952,3459364902,2450963329,6336794522,4644099011,3428218923,2276267758,5710350352,4485526550,3463699393,2264094795,4744281993,3702660000,2817921669,2000858442,3956643155,2669543119,3311434887,1900893259,2814381927,1210444191,2204611203,1310021438,915011267.8,0
营业收入,24324839645,57321059453,42492767200,30767525988,20238226409,50118105877,37101632093,27151044853,17590253203,40030189600,29250287403,21421181221,13897660045,30186780409,21977596630,15621127661,10158807519,24543792661,17699643832,13255638646,8825564213,21659287360,15131341357,11215414007,6735435074,21011491536,15068314516,11662532799,6719851620,24718588618,19165837235,15519877625,8675799863,27201045951,21126603443,15049709413,8230651473,20350594469,15648774490,10594830203,6244557080,15541300511,11471710171,7576545903,4493625788,11129220550,8029680076,5340889932,3338850727,7933068723,6578679657,4597277683,3086147514,7328555842,6043063120,4342880480,3009852592,7386141422,5955523310,4397011845,2730446462,6418751478,4967771279,3807013164,2469452514,6297583439,4578081988,3457300399,2449943326,6333090599,4640989046,3426815042,2274657872,5706517438,4483326842,3462399215,2263204765,4742095341,3700110000,2817494023,1999899650,3953640139,2667684534,3308791042,1900893259,2814346533,1210433401,2204454416,1309696891,914703675.4,0
二、营业总成本,11332956813,29738554310,22366611740,15786788157,9504279642,26123144090,19730497536,14186966628,8432243774,21524163784,16182239621,11658838009,7013986779,16954329683,12351635651,8681153496,5219248649,15340010356,10754163494,7973349652,4862712652,13447194529,8928676405,6763015921,3735455426,12993577703,8629017906,6118896264,3057524314,13283383589,9112582032,7283057053,3463706177,13502689948,10427199377,8115683207,4041835235,11853596549,9035308334,5987149723,3401082297,9443020432,6800389666,4476650414,2412452013,6561185343,4876502096,3195715838,1679559301,5503519535,4445425750,2855706735,1734790010,5148150422,4072615059,2648859865,1887268689,5599562879,4405972660,3151240884,1902376490,5224075523,3813072956,2879653588,1814507123,5018582979,3540898716,2641544286,1875446462,5241789466,3783531894,2788351560,1780945721,4837207924,3780842736,2964750178,1889664404,3821136586,0,2167956919,1584980357,2950932342,1944008592,2524466561,1517158008,2141029973,912752288.3,1695210642,922052291.5,591238913.5,0
营业成本,5732895877,14811961479,10822604630,7833637945,4749589304,12802259947,9717079389,7109600062,4259891437,10486782934,7759838647,5818583155,3725553183,8450087271,6350106684,4428529136,2993353291,7314252452,5287169637,3976153299,2661635000,6671963270,4656198302,3376312812,2055823734,5772029404,3787920585,2857248429,1682004659,6610410852,5339450953,4376697218,2033064548,8015724441,6475620512,5252285372,2519558542,6895411289,5318811655,3589356919,2138107424,4863189611,3862012275,2470927607,1354048502,3860659982,3030912032,2029592157,1086953254,3618072871,2994697567,1909931132,1210862959,3377979573,2691916728,1726068014,1260355739,3486534077,2763275004,1904934121,1128853612,3209547722,2434453785,1840642006,1190452153,3219308816,2411915899,1846629284,1345869096,3485512931,2527189391,1905502286,1263173220,3200544107,2439984867,1936175378,1318965801,2643927861,0,1570152121,1238131319,1930789418,1153309650,1576612801,924155194.9,1486186561,596587847.8,1142349023,564890120.2,391634546.3,0
营业税金及附加,3340585698,8092348596,5803542311,4156258872,2696556014,6984343103,5148643321,3815505260,2452674720,5908497299,4399320601,3026570089,1954791762,3494696080,2330495982,1428602683,761977874.7,1941174541,1369574668,1036442502,681549806.4,1784675660,1185882024,885174940.6,496842872.5,1517236398,1056567930,834773708.1,448817685.8,1849030035,1359146268,1097569220,587146311.8,2005704155,1558027611,1125809504,649332785.2,1601644135,1220745004,818818580.2,467757266.2,1392170703,949959547,639437722.2,362049254.8,798585260.9,534455604,353016371.5,229195199.4,565747370.9,459472285.4,314631402.1,193215185.2,582633454.8,449601518,315913759.3,203169122.6,686318177.3,556090845.6,413944767.7,278713692.9,795539034.6,611160237.4,349006847.6,217156441.1,612558108.2,430574801.9,300816347.1,197581411.8,676350429.5,542818071,390629189,235175805.5,771795760.2,632756339.8,497304015,301207000.9,456967130.5,0,224259442.8,153490045,214538084.2,163719979.7,234582285.1,132301100.9,197975432.6,126982521.6,270374752.1,158639410.8,123488650.4,0
销售费用,1724010807,5578918524,4873244847,3184157238,1728622544,4985579337,4042574571,2649368406,1273704365,3778433675,3077131772,2155689822,1002891972,3625397914,2696626089,2174133716,1096463607,4694545076,3042710866,2195621788,1125781380,3568061356,2197272200,1850332526,816948847,4308897448,2894737834,1791032877,638101750.5,3382176991,1552031028,1195041137,504185088,2258966257,1604891282,1215125574,482961749.5,2069991386,1480296163,954816987.8,386635240.7,1803233838,1036561700,773415888.9,351594259.3,1164153836,772950147.4,484683782.7,201341294,890832654.1,642056969.5,412268629.7,191259723.8,782758181.1,572401037.5,364868396.9,283165137.9,1005292875,770050949.1,616714289.1,365975456.2,864010470.4,525083962.8,473957767.2,265137290.9,805873049.3,410271794.1,288900281.6,207267783.9,693133050.2,400176892,284300322.1,177334630.1,490557853.1,414199424,321007216.3,170323063.4,345465316.6,0,214005459.3,152235661.1,587572449.1,461791453.7,449730853.4,311560399.1,342697922.8,152190024.6,205458923,143092621.8,33040032.62,0
管理费用,950385950.2,2609529686,1873808132,1296057659,700746397.5,2655347148,1792883205,1266083849,776566311,2340498705,1673818880,1181611989,594986303,2269024701,1612942170,1076103861,583795810.9,2143703444,1614574318,1107396573,572834323.1,2128805680,1443131572,1006746031,538900979.5,2047028547,1377206394,977690587.1,533715812.5,2263637925,1521231365,1085694376,577974320.3,2009184258,1408989421,922708225.7,532291967.3,1750685038,1257263895,818535719.4,431996771.2,1561852181,1057076555,670150753.7,356750164,838973053.2,604128660.7,368919789.8,173037218.2,588986100.3,438226187.1,294992672.1,155627050,497940571.2,399714055.9,278496902.7,143955668,471915102.7,342923580.3,240044224.9,131751438,380204276.7,249813020.3,221542936.3,147819190.5,407299604.8,300916626.8,216306143.8,126463988.6,415151762.5,332929994.3,220046772.4,107707797.5,401004011.8,315642991.9,221909408,106695265.4,400197212.5,0,176020993.2,46574723.73,232381015.2,172626087.7,278627189.8,158734444.5,156961577.3,40826189.95,65192867.91,39177380.97,30667940.87,0
财务费用,-454155608.4,-1485519200,-1098737210,-743265259.6,-400746843.7,-1430745866,-1030327975,-691853523.9,-352553213.2,-1085010764,-794183981.6,-526618366.9,-264236441.2,-890505901.9,-639724334.3,-427404960.7,-216710540.4,-765864110.9,-559238520.8,-341637035.1,-179087361.6,-732111447.7,-555911422.9,-357654118.2,-173061007.2,-657775551.2,-490454942.1,-344899041.8,-245115593.8,-826879677.6,-659404182.4,-471944898.5,-238664090.9,-789586016.6,-620329449.9,-400245467.8,-142309808.9,-476587420.8,-235104521.3,-187674784.1,-23414404.64,-192470846.4,-105230410.3,-77281557.63,-11990167.3,-109732181.4,-66018480.22,-40647909.57,-10967664.69,-159954267.4,-87720223.98,-74810065.36,-15614749.33,-92227613.01,-41018279.99,-36487207.52,-3376979.14,-50497352.53,-26367719.06,-24396518,-2917708.8,-25225980.81,-7438048.86,-5495968.91,-6057952.72,-26456599.11,-12780406.13,-11107770.04,-1735818.19,-28358707.26,-19582453.85,-12127010.28,-2445731.69,-26693808.86,-21740886.9,-11645839.7,-7526726.13,-25420934.84,0,-16481097.72,-5451391.75,-14348624.14,-7438579.86,-15086567.96,-9593131.21,-42791521.08,-3834295.55,11835075.34,16252757.8,12407743.33,0
