报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
一、营业总收入,10520001017,21101051132,18913631469,13428505839,9268167143,23126476885,21097732293,15998582863,10889633584,24159801995,20965660631,14542579776,9537587047,19917942238,16878326032,11530491074,7588577706,17183109620,14667079391,10193599292,6843010211,16052444099,13661026389,9571451212,6259682603,14672214730,12305346981,8653096950,5669736628,15023624945,13053173029,9410318067,6322817290,17270481273,13996989331,9309772422,5961705524,12740921688,9697320356,6171743874,3633800730,7619092696,5554300160,3487100334,1933433794,4002048451,2892240128,1804563004,1102269473,2682203715,2048392868,1762014976,1071430299,0
营业收入,10520001017,21101051132,18913631469,13428505839,9268167143,23126476885,21097732293,15998582863,10889633584,24159801995,20965660631,14542579776,9537587047,19917942238,16878326032,11530491074,7588577706,17183109620,14667079391,10193599292,6843010211,16052444099,13661026389,9571451212,6259682603,14672214730,12305346981,8653096950,5669736628,15023624945,13053173029,9410318067,6322817290,17270481273,13996989331,9309772422,5961705524,12740921688,9697320356,6171743874,3633800730,7619092696,5554300160,3487100334,1933433794,4002048451,2892240128,1804563004,1102269473,2682203715,2048392868,1762014976,1071430299,0
二、营业总成本,5464072133,13773294252,11611186447,7852396258,4972412127,14457584017,12402627835,9078392941,5797617270,14352364433,12299405913,8297255362,5048144565,11741569054,9817055230,6575865046,4041757171,10003035000,8505632899,5795578337,3643576438,9490295983,7843196572,5415141859,3306351281,8715727654,6971554758,4859002873,3000969816,8369436136,7085982601,5041429783,3213222027,9216399005,7699199766,5162650172,3032872053,7228316980,5655841725,3592392881,1911260025,4539223583,3449836704,2052011355,971484265.9,2337105957,1690601438,1029303529,621935854.8,1684038241,1285231538,1176178738,792027810.6,0
营业成本,2508367995,5851904597,5068694238,3596602441,2433859981,6626362251,5976944225,4648107110,3017455466,6353242198,5653402853,4144543173,2404885243,6681148562,6371076318,4623801494,2941911479,6202978829,5735804450,4009582191,2695932517,6115069098,5330693262,3762356328,2502938317,5777412894,4780680540,3407825526,2285892094,5945715709,5060171546,3676170198,2480071114,6294198673,5362408567,3565644194,2268096763,5329366250,4243870859,2646977152,1488205485,3328594725,2486297155,1474286330,771553443.8,1662247601,1321088352,791357602.7,510835231.2,1278070328,996440380.6,907809836.2,563783109.3,0
营业税金及附加,1734473180,3415645769,2835527675,2112927787,1392673096,3201479826,2810576008,2135020912,1551684226,3769929974,3371234586,2118329322,1545971948,1151869831,557558898.8,223477296.6,146365847.4,309567399.6,234477497.3,162047048.8,116281807.3,229394196.1,209895890.3,147865321.6,105768104,190351431.5,170909870.3,111746738.2,84225286.92,187286765,168927868.8,124954795.3,95368804.19,241145252.1,211949283.7,153197788.9,110973224.5,179166033.7,153600718.3,92742323.69,54177037.42,87331062.62,65500015.95,35841173.98,21653777.68,41855343.65,30938622.04,21251992.15,13309014.16,26599811.09,21732539.12,16223457.61,12867039.89,0
销售费用,663559245.6,2603804158,2167126715,1181965460,624624759.9,2691711171,2270244071,1370383593,697211738.2,2561401628,1982390789,1173283871,602024945,2387447107,1605461835,956290842.8,506874763.5,1869001822,1330198552,834496994.5,439268461.7,1882406797,1266410064,829625855.7,383676382.6,1679836848,1178737804,791721430,356644134.7,1387705066,1222197916,805624430.5,424133141.6,1774903605,1424196421,993502306.5,457004563.6,1209425994,844730264,583856963.4,228639250.6,736996355.3,617878841.2,373069561,120573527.7,405179923.5,188877321.6,136525207.4,56960326.35,226590907.9,161012719.6,138369838.6,120959295.2,0
管理费用,491151613.5,1729080202,1353340020,903150525.7,479341347.2,1856491727,1364642531,943543874.8,534182547.1,1704265103,1303560226,879927101.1,471919433.9,1532148107,1299488069,799994253.1,458519929.6,1582435251,1209259129,818347509.2,420191874.1,1447878279,1084789772,699310538.7,345671905.2,1267056865,997616631.8,661741154,341738108.4,1037405568,746339694.6,498391058.2,263428676.8,1020217375,770700532.3,494908878.7,230967029.1,660981057.3,481812387.3,291176762.4,148002404.2,441167599.2,306440546.4,190543824.5,62238783.89,245981991.6,159181465.3,86099648.17,43616740,169726508.3,113849286.5,112967512.5,88431223.31,0
财务费用,-10218149.7,-87234764.39,-49144913.09,-37774802.26,-7398644.77,-78426551.41,-49378572.04,-39448244.58,-17161315.41,-65138636.76,-35607490.66,-22259642.06,19849905.67,-33912331.47,-34014641.21,-34091176.13,-19138230.58,-8947212.14,-25445046.18,-28737363.73,-28723228.75,-196359141.1,-52202946.21,-26817544.03,-32200792.4,-236686300.3,-159748683.8,-117911465.7,-68187144.49,-196472477.2,-112318239.9,-68179398.14,-52664744.92,-120712322.2,-75890811.54,-50218001.37,-37306277.08,-156539345.6,-70188073.79,-25022774.26,-10391462.67,-51764454.65,-22995597.14,-18299585.21,-4042375.85,-20653462.7,-11119706.4,-6850258.16,-3121688.78,-16955747.06,-8579308.7,321927.76,5501524.1,0
